iter	MultiClass
0	1.083823462
1	1.071241813
2	1.059530778
3	1.049219685
4	1.039035105
5	1.030566429
6	1.022496041
7	1.015934471
8	1.009306949
9	1.003021929
10	0.9974812381
11	0.9924830492
12	0.987575858
13	0.9829672171
14	0.978889789
15	0.9751785947
16	0.9714295865
17	0.9681625689
18	0.9650361729
19	0.9619821684
20	0.9591845839
21	0.9567675904
22	0.954771539
23	0.952397734
24	0.9503453038
25	0.9482008214
26	0.9464449904
27	0.9445212092
28	0.9430109931
29	0.9415402348
30	0.940243453
31	0.9388201532
32	0.9374070035
33	0.9361060726
34	0.9349633278
35	0.9338243735
36	0.9328178269
37	0.9319073086
38	0.9309402704
39	0.9301080661
40	0.9291444195
41	0.9282930056
42	0.9275499924
43	0.9266519537
44	0.9257572488
45	0.9250554043
46	0.9242551859
47	0.9236816163
48	0.9228753766
49	0.9222153389
50	0.92148117
51	0.9207681285
52	0.9199889039
53	0.9194117767
54	0.9189176121
55	0.9183679277
56	0.9178740776
57	0.9172793323
58	0.9167654592
59	0.9163830862
60	0.9160120596
61	0.9155420531
62	0.9150947698
63	0.9145862563
64	0.9141307083
65	0.9136957529
66	0.9132067599
67	0.9128648215
68	0.9124911997
69	0.91211275
70	0.9116086637
71	0.9111193782
72	0.910812706
73	0.9104171356
74	0.9099128216
75	0.9096836518
76	0.909302282
77	0.9089347294
78	0.9085486347
79	0.9082654345
80	0.9078296175
81	0.9075318885
82	0.9072710085
83	0.9069774188
84	0.9066507913
85	0.9063752105
86	0.9060806321
87	0.9058170197
88	0.9054799798
89	0.9053414013
90	0.9050862003
91	0.9048624976
92	0.9045897096
93	0.904372157
94	0.9039712336
95	0.9036578842
96	0.903357077
97	0.903118844
98	0.9029285545
99	0.9026231254
100	0.9023891955
101	0.9022259475
102	0.9020408027
103	0.9017768534
104	0.9016176916
105	0.9013339614
106	0.9011905133
107	0.9007896809
108	0.9006056088
109	0.9002978477
110	0.900061765
111	0.8998017188
112	0.8996381072
113	0.8993530309
114	0.8989981369
115	0.8987678801
116	0.8985859402
117	0.8983812673
118	0.8981377683
119	0.897857202
120	0.8975537985
121	0.8972690024
122	0.8970091786
123	0.896795534
124	0.8963935456
125	0.8961955167
126	0.8959818685
127	0.8958397987
128	0.8956881657
129	0.8954413374
130	0.8952425499
131	0.8949913507
132	0.8947865102
133	0.8944493362
134	0.8942276666
135	0.89399341
136	0.8937505675
137	0.8935533354
138	0.8933359174
139	0.8931070309
140	0.8929321922
141	0.8926771346
142	0.8924726973
143	0.8922311954
144	0.892003895
145	0.8918380553
146	0.891664787
147	0.8915872345
148	0.8914364114
149	0.8912387772
150	0.8910181794
151	0.890832072
152	0.8906642613
153	0.8904761124
154	0.8903160147
155	0.8901956279
156	0.8899089729
157	0.8896510887
158	0.8894064027
159	0.8891889304
160	0.8890815612
161	0.8887796603
162	0.8885626681
163	0.88847117
164	0.8882446838
165	0.8880063461
166	0.8877135292
167	0.8875261774
168	0.8873640148
169	0.8872411237
170	0.8869139888
171	0.886797076
172	0.8865785537
173	0.8864463008
174	0.8863263689
175	0.8860851409
176	0.8858676973
177	0.8856166442
178	0.8854837091
179	0.8852404286
180	0.8850563675
181	0.8848523879
182	0.8846414077
183	0.8845147445
184	0.8843405824
185	0.8841255631
186	0.883985942
