iter	Passed	Remaining
0	15	7755
1	28	7128
2	39	6588
3	51	6344
4	63	6246
5	73	6089
6	84	5945
7	96	5950
8	109	5958
9	120	5891
10	134	5961
11	146	5973
12	159	5978
13	172	5976
14	184	5965
15	196	5943
16	207	5902
17	220	5897
18	232	5889
19	244	5873
20	256	5855
21	269	5852
22	281	5836
23	293	5822
24	305	5800
25	318	5804
26	331	5810
27	344	5805
28	357	5805
29	369	5786
30	380	5761
31	392	5742
32	405	5732
33	418	5737
34	434	5773
35	450	5808
36	465	5821
37	482	5861
38	495	5852
39	507	5831
40	519	5814
41	530	5788
42	543	5774
43	555	5754
44	565	5721
45	577	5697
46	588	5670
47	599	5641
48	610	5621
49	622	5598
50	632	5571
51	643	5546
52	654	5523
53	666	5507
54	678	5486
55	688	5461
56	700	5440
57	709	5410
58	720	5388
59	732	5368
60	743	5349
61	754	5330
62	766	5315
63	779	5308
64	790	5291
65	801	5268
66	811	5245
67	823	5231
68	835	5217
69	845	5192
70	857	5182
71	868	5163
72	878	5139
73	890	5127
74	903	5121
75	917	5116
76	928	5102
77	941	5095
78	953	5082
79	965	5067
80	976	5049
81	988	5038
82	1000	5024
83	1011	5009
84	1023	4997
85	1035	4983
86	1046	4968
87	1058	4956
88	1071	4946
89	1082	4932
90	1093	4916
91	1105	4901
92	1116	4888
93	1128	4873
94	1140	4860
95	1151	4846
96	1163	4833
97	1176	4824
98	1190	4821
99	1205	4820
100	1216	4805
101	1230	4799
102	1243	4791
103	1257	4786
104	1269	4776
105	1280	4759
106	1290	4741
107	1301	4725
108	1313	4710
109	1325	4699
110	1337	4688
111	1350	4677
112	1361	4662
113	1373	4651
114	1384	4634
115	1395	4621
116	1407	4606
117	1418	4592
118	1429	4577
119	1440	4560
120	1451	4547
121	1463	4534
122	1474	4519
123	1484	4500
124	1495	4486
125	1506	4470
126	1516	4455
127	1527	4438
128	1537	4421
129	1548	4405
130	1557	4388
131	1568	4372
132	1577	4354
133	1588	4338
134	1598	4321
135	1608	4306
136	1618	4288
137	1629	4274
138	1640	4259
139	1651	4246
140	1663	4234
141	1674	4220
142	1687	4212
143	1700	4204
144	1714	4197
145	1727	4187
146	1738	4175
147	1753	4170
148	1768	4166
149	1782	4158
150	1794	4147
151	1806	4135
152	1818	4124
153	1829	4109
154	1841	4098
155	1853	4086
156	1864	4072
157	1875	4059
158	1885	4044
159	1896	4030
160	1907	4016
161	1918	4002
162	1928	3987
163	1940	3974
164	1952	3963
165	1967	3957
166	1979	3947
167	1993	3939
168	2006	3929
169	2018	3917
170	2031	3908
171	2043	3897
172	2057	3888
173	2070	3878
174	2082	3867
175	2096	3859
176	2109	3849
