feature,importance
matches_played_diff,5.573384705423124
abs_goals_conceded_diff,5.27390488776027
goal_balance_diff,4.6386602788199705
goals_conceded_diff,4.3608992054624975
loss_rate_diff,3.3934789988926526
neutral,3.1430189079642363
home_avg_goals_scored,3.0512690643987943
away_draw_rate,2.8139784110967776
home_avg_goals_conceded,2.798387353434023
home_draw_rate,2.688688908605836
away_matches_played,2.5226766970451058
abs_goals_scored_diff,2.5183283794354843
last5_goals_scored_diff,2.4343316989863895
away_avg_goals_scored,2.3994646141956384
last5_goals_conceded_diff,2.3866661669619234
home_matches_played,2.3634682447750928
tournament_friendly,2.3540881701221066
away_avg_goals_conceded,2.2636864628471542
win_rate_diff,2.2360089314006704
abs_win_rate_diff,2.146885807883481
draw_rate_diff,2.0979572166344336
strength_gap,2.0355278166887323
month,2.0148638920562254
away_goal_balance,1.965848483072688
away_win_rate,1.8008858038919329
h2h_home_win_rate,1.698064498337249
home_last5_avg_goals_conceded,1.6822877838723753
away_last5_avg_goals_conceded,1.6304986581385834
last5_win_rate_diff,1.5986092043487152
year,1.5904152544451629
h2h_matches,1.5888723370666753
home_goal_balance,1.5515241935748019
abs_h2h_diff,1.526698792725256
away_last5_avg_goals_scored,1.505347127153407
home_loss_rate,1.4796757548139212
h2h_win_rate_diff,1.4528002538784532
away_loss_rate,1.435496364224259
h2h_away_win_rate,1.4269347665775898
goals_scored_diff,1.3832821190679545
h2h_draw_rate,1.3814494317025254
home_win_rate,1.154445347195476
home_last5_avg_goals_scored,0.9937793829652446
away_last5_win_rate,0.9504368171040884
home_last5_win_rate,0.8862104258907209
abs_last5_diff,0.6441651715022254
tournament_world_cup_qualifier,0.5143419317599587
tournament_other,0.496385635710681
tournament_continental_championship,0.10850667343541465
tournament_world_cup,0.03344321496157703
tournament_nations_league,0.009969751692432657
